Fraction,Population,Recruitment Duration,Release Duration
0.9189472380572705,Active,0.41,3.81
0.055744668854850465,Irreversibly Silent,0.41,3.81
0.920775910887247,Active,0.41,3.91
0.055744668854850465,Irreversibly Silent,0.41,3.91
0.9224724448259525,Active,0.41,4.01
0.055744668854850465,Irreversibly Silent,0.41,4.01
0.9240463780615258,Active,0.41,4.11
0.055744668854850465,Irreversibly Silent,0.41,4.11
0.9255065488591088,Active,0.41,4.21
0.055744668854850465,Irreversibly Silent,0.41,4.21
0.9268611389885965,Active,0.41,4.31
0.055744668854850465,Irreversibly Silent,0.41,4.31
0.9281178346949363,Active,0.41,4.41
0.055744668854850465,Irreversibly Silent,0.41,4.41
0.9292838739266048,Active,0.41,4.51
0.055744668854850465,Irreversibly Silent,0.41,4.51
0.9303656591907734,Active,0.41,4.61
0.055744668854850465,Irreversibly Silent,0.41,4.61
0.9313692781059003,Active,0.41,4.71
0.055744668854850465,Irreversibly Silent,0.41,4.71
0.9323003775806389,Active,0.41,4.81
0.055744668854850465,Irreversibly Silent,0.41,4.81
0.933164194450953,Active,0.41,4.91
0.055744668854850465,Irreversibly Silent,0.41,4.91
0.9339655830733451,Active,0.41,5.01
0.055744668854850465,Irreversibly Silent,0.41,5.01
0.44711207560911165,Active,0.51,0.01
0.0787758827332725,Irreversibly Silent,0.51,0.01
0.4813697588202293,Active,0.51,0.11
0.0787758827332725,Irreversibly Silent,0.51,0.11
0.5131521012800754,Active,0.51,0.21
0.0787758827332725,Irreversibly Silent,0.51,0.21
0.5426379621171916,Active,0.51,0.31
0.0787758827332725,Irreversibly Silent,0.51,0.31
0.5699932731502372,Active,0.51,0.41
0.0787758827332725,Irreversibly Silent,0.51,0.41
0.5953719879110057,Active,0.51,0.51
0.0787758827332725,Irreversibly Silent,0.51,0.51
0.6189169265649046,Active,0.51,0.61
0.0787758827332725,Irreversibly Silent,0.51,0.61
0.6407605874580656,Active,0.51,0.71
0.0787758827332725,Irreversibly Silent,0.51,0.71
0.6610258864897371,Active,0.51,0.81
0.0787758827332725,Irreversibly Silent,0.51,0.81
0.6798268812557173,Active,0.51,0.91
0.0787758827332725,Irreversibly Silent,0.51,0.91
0.6972694039007585,Active,0.51,1.01
0.0787758827332725,Irreversibly Silent,0.51,1.01
0.7134515897848958,Active,0.51,1.11
0.0787758827332725,Irreversibly Silent,0.51,1.11
0.7284645008690503,Active,0.51,1.21
0.0787758827332725,Irreversibly Silent,0.51,1.21
0.7423926041495834,Active,0.51,1.31
0.0787758827332725,Irreversibly Silent,0.51,1.31
0.7553142865847109,Active,0.51,1.41
0.0787758827332725,Irreversibly Silent,0.51,1.41
0.7673023525216206,Active,0.51,1.51
0.0787758827332725,Irreversibly Silent,0.51,1.51
0.778424202227358,Active,0.51,1.61
0.0787758827332725,Irreversibly Silent,0.51,1.61
0.788742422630729,Active,0.51,1.71
0.0787758827332725,Irreversibly Silent,0.51,1.71
0.7983150697866737,Active,0.51,1.81
0.0787758827332725,Irreversibly Silent,0.51,1.81
0.8071959839153079,Active,0.51,1.91
0.0787758827332725,Irreversibly Silent,0.51,1.91
0.8154351109913012,Active,0.51,2.01
0.0787758827332725,Irreversibly Silent,0.51,2.01
0.8230790557670743,Active,0.51,2.11
0.0787758827332725,Irreversibly Silent,0.51,2.11
0.8301706756127938,Active,0.51,2.21
0.0787758827332725,Irreversibly Silent,0.51,2.21
0.8367498783851199,Active,0.51,2.31
0.0787758827332725,Irreversibly Silent,0.51,2.31
0.8428536841026544,Active,0.51,2.41
0.0787758827332725,Irreversibly Silent,0.51,2.41
0.8485164268576753,Active,0.51,2.51
0.0787758827332725,Irreversibly Silent,0.51,2.51
