ad,ka,ki,ks,pk,pk2
9.19893840059127,4.21,0.5,0.11,0.7401892954641365,0.12354020415498619
9.319339975692662,4.31,0.5,0.11,0.7445626048088014,0.1267417649158276
9.440328194725431,4.41,0.5,0.11,0.7487910309541659,0.12992885150796707
9.56169875931758,4.51,0.5,0.11,0.7528837818279454,0.13310449010762934
9.683386110296185,4.61,0.5,0.11,0.756847820619176,0.1362698187173384
9.756346225492326,4.71,0.5,0.11,0.7609180130300714,0.1393058961912885
9.862129235861193,4.81,0.5,0.11,0.7646326855989423,0.1426059656247677
9.969969661990099,4.91,0.5,0.11,0.7681665114744505,0.14570747398471845
10.087709075751553,5.01,0.5,0.11,0.771629261813304,0.14876654752480525
10.208488909350434,5.11,0.5,0.11,0.7750135601371898,0.15187331470112736
10.310854977810092,5.21,0.5,0.11,0.7783028205881092,0.1550277426104186
10.43231647373322,5.31,0.5,0.11,0.7815007090711601,0.15816115018816915
10.554024389065058,5.41,0.5,0.11,0.7846108634924628,0.16127517832226707
10.675962422509729,5.51,0.5,0.11,0.7876368710346322,0.164370836619725
10.798102605407438,5.61,0.5,0.11,0.7905819585834414,0.16736564603795148
10.920396914384675,5.71,0.5,0.11,0.793448922217416,0.17051765913655254
